text,title
"{""v"":1,""lot"":""LOT-AMB-ORANGE-001""}",LOT-AMB-ORANGE-001
"{""v"":1,""lot"":""LOT-AMB-STRAWBERRY-001""}",LOT-AMB-STRAWBERRY-001
"{""v"":1,""lot"":""LOT-AMB-MANDARIN-001""}",LOT-AMB-MANDARIN-001
"{""v"":1,""lot"":""LOT-CHL-COFFEE-001""}",LOT-CHL-COFFEE-001
"{""v"":1,""lot"":""LOT-CHL-SANDWICH-001""}",LOT-CHL-SANDWICH-001
"{""v"":1,""lot"":""LOT-CHL-YOGURT-001""}",LOT-CHL-YOGURT-001
"{""v"":1,""lot"":""LOT-CHL-MILK-001""}",LOT-CHL-MILK-001
"{""v"":1,""lot"":""LOT-FRZ-PORKBELLY-001""}",LOT-FRZ-PORKBELLY-001
"{""v"":1,""lot"":""LOT-FRZ-DUMPLING-001""}",LOT-FRZ-DUMPLING-001
"{""v"":1,""lot"":""LOT-FRZ-ICEBAR-001""}",LOT-FRZ-ICEBAR-001
"{""v"":1,""lot"":""LOT-FRZ-ICECONE-001""}",LOT-FRZ-ICECONE-001
