idx,time_s,x,y,yaw
0,0.0,-0.6288,0.3703,0.3485
1,1.032,-0.6288,0.3703,0.3485
2,1.183,-0.6287,0.3703,0.8782
3,1.334,-0.6287,0.3703,1.0067
4,1.5,-0.6286,0.3704,1.1377
5,1.653,-0.6286,0.3704,1.3381
6,1.81,-0.6287,0.3703,1.5066
7,1.963,-0.6287,0.3704,1.6376
8,2.123,-0.6286,0.3703,1.8014
9,2.319,-0.6289,0.371,1.9359
10,2.471,-0.6422,0.3968,2.0845
11,2.632,-0.6576,0.4234,2.0962
12,2.783,-0.666,0.4381,2.0854
13,2.934,-0.6689,0.4434,2.0811
14,3.085,-0.6747,0.4538,2.0712
15,3.241,-0.6785,0.4608,2.0656
16,3.393,-0.6832,0.4695,2.0604
17,3.557,-0.6861,0.4751,2.0552
18,3.71,-0.6928,0.4881,2.041
19,3.863,-0.6966,0.4956,2.0333
20,4.014,-0.7011,0.5049,2.0242
21,4.174,-0.7044,0.5117,2.0186
22,4.376,-0.7104,0.5245,2.0035
23,4.573,-0.7145,0.5335,1.9919
24,4.723,-0.7185,0.5427,1.9802
25,4.877,-0.7218,0.5504,1.969
26,5.033,-0.7243,0.5564,1.9604
27,5.195,-0.7262,0.561,1.9565
28,5.394,-0.7305,0.5718,1.9453
29,5.545,-0.7341,0.5811,1.9406
30,5.703,-0.7366,0.5874,1.9384
31,5.853,-0.7395,0.595,1.938
32,6.011,-0.7413,0.5997,1.938
33,6.167,-0.7451,0.6096,1.9384
34,6.324,-0.752,0.6275,1.9415
35,6.476,-0.7587,0.6444,1.9453
36,6.637,-0.7601,0.648,1.9466
37,6.835,-0.7652,0.6609,1.9479
38,7.037,-0.7728,0.6801,1.954
39,7.25,-0.7806,0.6989,1.9716
40,7.452,-0.7881,0.7161,1.9927
41,7.635,-0.7955,0.7321,2.013
42,7.785,-0.7983,0.7379,2.0186
43,7.941,-0.7984,0.738,2.0173
44,8.093,-0.7985,0.7382,1.9945
45,8.256,-0.7985,0.7382,1.9712
46,8.412,-0.7987,0.7389,1.8984
47,8.563,-0.8021,0.7501,1.8596
48,8.714,-0.8067,0.7653,1.8725
49,8.866,-0.8095,0.7738,1.8876
50,9.021,-0.8151,0.7902,1.9178
51,9.173,-0.8165,0.7939,1.9268
52,9.334,-0.8166,0.7941,1.9251
53,9.486,-0.8167,0.7944,1.9066
54,9.678,-0.8167,0.7944,1.8781
55,9.833,-0.8167,0.7944,1.8083
56,9.983,-0.8167,0.7945,1.7273
57,10.145,-0.8167,0.7945,1.6493
58,10.307,-0.8167,0.7945,1.6006
59,10.532,-0.8167,0.7945,1.5221
60,10.722,-0.8167,0.7944,1.4049
61,10.906,-0.8167,0.7944,1.2407
62,11.063,-0.8167,0.7945,1.042
63,11.213,-0.8168,0.7944,0.8791
64,11.377,-0.8167,0.7944,0.7455
65,11.531,-0.8167,0.7945,0.6192
66,11.683,-0.8166,0.7945,0.4636
67,11.833,-0.8166,0.7945,0.3735
68,11.983,-0.8166,0.7945,0.3046
69,12.16,-0.8166,0.7945,0.2787
70,12.376,-0.8166,0.7945,0.2567
71,12.574,-0.8166,0.7945,0.258
72,12.821,-0.8165,0.7945,0.2671
73,13.033,-0.8166,0.7945,0.3162
74,13.248,-0.8167,0.7945,0.4128
75,13.55,-0.8167,0.7945,0.5067
76,13.712,-0.8168,0.7944,0.8476
77,13.879,-0.8168,0.7944,1.0467
78,14.036,-0.8169,0.7943,1.214
79,14.191,-0.8168,0.7944,1.4165
80,14.387,-0.8168,0.7944,1.4165
81,14.542,-0.8169,0.7945,1.6493
82,14.709,-0.8191,0.8044,1.8281
83,14.902,-0.8262,0.8269,1.8932
84,15.189,-0.8303,0.839,1.8997
85,15.375,-0.8381,0.8612,1.9156
86,15.568,-0.8441,0.8775,1.9242
87,15.766,-0.846,0.8827,1.9182
88,15.928,-0.8461,0.883,1.8897
89,16.223,-0.8461,0.883,1.8359
90,16.393,-0.8461,0.8831,1.7173
91,16.593,-0.8461,0.8833,1.5286
92,16.825,-0.8462,0.8832,1.3674
93,17.03,-0.8462,0.8832,1.1704
94,17.241,-0.8462,0.883,0.9717
95,17.393,-0.8462,0.883,0.639
